,index,#calls,#agents
8/8/2019,10:30:00,317,77
8/8/2019,11:00:00,330,80
8/8/2019,11:30:00,315,77
8/8/2019,12:00:00,298,65
8/8/2019,12:30:00,293,63
8/8/2019,13:00:00,320,68
8/8/2019,13:30:00,334,70
8/8/2019,14:00:00,310,66
8/8/2019,14:30:00,308,66
8/8/2019,15:00:00,308,66
8/8/2019,15:30:00,294,63
8/8/2019,16:00:00,284,60
8/8/2019,16:30:00,268,58
8/8/2019,17:00:00,237,53
8/8/2019,17:30:00,208,47
8/8/2019,18:00:00,190,50
8/8/2019,18:30:00,180,48
8/8/2019,19:00:00,156,44
8/8/2019,19:30:00,150,40
8/8/2019,20:00:00,147,35
8/8/2019,20:30:00,128,32
8/8/2019,21:00:00,130,33
8/8/2019,21:30:00,113,28
8/8/2019,22:00:00,89,23
8/8/2019,22:30:00,65,18
8/8/2019,23:00:00,48,16
8/8/2019,23:30:00,36,12
8/9/2019,0:00:00,33,12
8/9/2019,0:30:00,24,11
8/9/2019,1:00:00,20,9
8/9/2019,1:30:00,15,8
8/9/2019,2:00:00,11,8
8/9/2019,2:30:00,9,6
8/9/2019,3:00:00,6,6
8/9/2019,3:30:00,5,5
8/9/2019,4:00:00,5,5
8/9/2019,4:30:00,5,5
8/9/2019,5:00:00,8,6
8/9/2019,5:30:00,10,6
8/9/2019,6:00:00,16,8
8/9/2019,6:30:00,28,11
8/9/2019,7:00:00,38,15
8/9/2019,7:30:00,62,18
8/9/2019,8:00:00,119,30
8/9/2019,8:30:00,194,44
8/9/2019,9:00:00,268,58
8/9/2019,9:30:00,308,66
8/9/2019,10:00:00,314,77
8/9/2019,10:30:00,317,77
8/9/2019,11:00:00,330,80
8/9/2019,11:30:00,315,77
8/9/2019,12:00:00,298,65
8/9/2019,12:30:00,293,63
8/9/2019,13:00:00,320,68
8/9/2019,13:30:00,334,70
8/9/2019,14:00:00,310,66
8/9/2019,14:30:00,308,66
8/9/2019,15:00:00,308,66
8/9/2019,15:30:00,294,63
8/9/2019,16:00:00,284,60
8/9/2019,16:30:00,268,58
8/9/2019,17:00:00,237,53
8/9/2019,17:30:00,208,47
8/9/2019,18:00:00,190,50
8/9/2019,18:30:00,180,48
8/9/2019,19:00:00,156,44
8/9/2019,19:30:00,150,40
8/9/2019,20:00:00,147,35
8/9/2019,20:30:00,128,32
8/9/2019,21:00:00,130,33
8/9/2019,21:30:00,113,28
8/9/2019,22:00:00,89,23
8/9/2019,22:30:00,65,18
8/9/2019,23:00:00,48,16
8/9/2019,23:30:00,36,12
8/10/2019,0:00:00,23,9
8/10/2019,0:30:00,20,9
8/10/2019,1:00:00,17,7
8/10/2019,1:30:00,12,6
8/10/2019,2:00:00,8,5
8/10/2019,2:30:00,7,5
8/10/2019,3:00:00,4,4
8/10/2019,3:30:00,4,4
8/10/2019,4:00:00,4,4
8/10/2019,4:30:00,4,4
8/10/2019,5:00:00,5,5
8/10/2019,5:30:00,6,5
8/10/2019,6:00:00,11,6
8/10/2019,6:30:00,14,7
8/10/2019,7:00:00,26,10
8/10/2019,7:30:00,43,14
8/10/2019,8:00:00,81,22
8/10/2019,8:30:00,117,28
8/10/2019,9:00:00,173,39
8/10/2019,9:30:00,184,42
8/10/2019,10:00:00,178,46
8/10/2019,10:30:00,198,50
8/10/2019,11:00:00,201,50
8/10/2019,11:30:00,220,55
8/10/2019,12:00:00,186,42
8/10/2019,12:30:00,195,43
8/10/2019,13:00:00,179,40
8/10/2019,13:30:00,180,40
8/10/2019,14:00:00,169,37
8/10/2019,14:30:00,166,37
8/10/2019,15:00:00,181,40
8/10/2019,15:30:00,174,39
8/10/2019,16:00:00,155,35
8/10/2019,16:30:00,139,33
8/10/2019,17:00:00,140,33
8/10/2019,17:30:00,138,33
8/10/2019,18:00:00,124,33
8/10/2019,18:30:00,95,28
8/10/2019,19:00:00,91,26
8/10/2019,19:30:00,76,23
8/10/2019,20:00:00,78,20
8/10/2019,20:30:00,81,22
8/10/2019,21:00:00,81,22
8/10/2019,21:30:00,72,19
8/10/2019,22:00:00,59,17
8/10/2019,22:30:00,48,14
8/10/2019,23:00:00,38,13
8/10/2019,23:30:00,23,9
8/11/2019,0:00:00,30,10
8/11/2019,0:30:00,14,7
8/11/2019,1:00:00,13,6
8/11/2019,1:30:00,11,6
8/11/2019,2:00:00,7,5
8/11/2019,2:30:00,6,5
8/11/2019,3:00:00,4,4
8/11/2019,3:30:00,3,4
8/11/2019,4:00:00,3,4
